"Despesa_Sap","Despesa_Tm1"
"Fev - PB1225.2 - ICTL ANALISE E GESTAO FINANCEIRA BAIXA","PB1225.3 - Financial Management & Contracts"
"Fev - PB1225.4 - SUP E ASSES ICT GARTNER 3/3","PB1225.1 - Simpósio Gartner"
"Fev - PB1226.1 - PROV FORCE ONE PROFESSIONAL SERVICES","PB1226.13 - ICT Communication & Training"
"Fev - PB1226.2 - PROV FORCE ONE PROFESSIONAL SERVICES","PB1226.3 - PMO - Gestão de Portfólio de Projetos / SharePoint / EPM"
"Fev - PB1226.3 - ICTL ANALISE PROCESSOS ITIL ALTA","PB1226.13 - ICT Communication & Training"
"Fev - PB1226.4 - ICTL ARQUITETURA BANCO DE DADOS MEDIA","PB1226.3 - PMO - GESTÃO DE PORTFÓLIO DE PROJETOS / SHAREPOINT / EPM"
"Fev - PB1226.5 - MANUTENÇÃO ANUAL DRIVE IT 11/12","PB1226.2 - DRIVE IT - SERVICENOW - SUBSCRIÇÃO"
"Fev - PB1227.1 - PROV ICT DESP FCA ITA JAN DEZ 2016","PB1227.4 - GSuite - Subscription"
"Fev - PB1227.2 - PROV ICT DESP FCA ITA JAN DEZ 2017","PB1227.4 - GSuite - Subscription"
"Fev - PB1227.3 - PROV ICT DESP FCA ITA JAN DEZ 2018","PB1227.4 - GSuite - Subscription"
"Fev - PB1227.4 - PROV ICT DESP FCA ITA JAN DEZ 2018","PB1227.4 - GSuite - Subscription"
"Fev - PB1227.5 - PROV ICT DESP FCA ITA JAN DEZ 2017","PB1227.4 - GSuite - Subscription"
"Fev - PB1227.6 - PROV ICT DESP FCA ITA JAN DEZ 2016","PB1227.4 - GSuite - Subscription"
"Fev - PB1228.1 - 0800001786 ELLO SERVICOS EM INF EM","PB1228.2 - FLEET DE PRODUÇÃO (ON-GOING)"
"Fev - PB1228.2 - 0800001786 ELLO SERVICOS EM INF EM","PB1228.2 - FLEET DE PRODUÇÃO (ON-GOING)"
"Fev - PB1228.3 - PROV CAMPELLO FLEET PRODUÇÃO JANEIR","PB1228.2 - FLEET DE PRODUÇÃO (ON-GOING)"
"Fev - PB1228.4 - EUS DSS INDUSTRIAL FLEET DE PRODUÇÃO","PB1228.2 - FLEET DE PRODUÇÃO (ON-GOING)"
